timestamp,id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl,hour,dow,dayofyear,hour_sin,hour_cos,dow_sin,dow_cos,n_flows_sim_trend,baseline_smooth,trend_factor,daily_factor,weekly_factor
2023-10-09 00:00:00+00:00,0.0,661810.0,27256441.0,29750535198.0,188208.0,6.71,33.12,399507.0,14.24,312.07,462409.0,16.49,336.78,0.79,0.77,0.45,0.46,12.07,145.95,0,0,282,0.0,1.0,0.0,1.0,648063,661810.0,1.0,0.9566987298107781,1.0235114100916989
2023-10-09 01:00:00+00:00,1.0,711480.0,23075833.0,22606097113.0,194656.0,6.71,32.32,415972.0,14.34,338.44,495970.0,17.09,368.76,0.78,0.76,0.45,0.46,12.41,142.26,1,0,282,0.25881904510252074,0.9659258262890683,0.0,1.0,684993,686792.8273809524,1.0000044322857176,0.9646446609406726,1.0247049731395848
2023-10-09 02:00:00+00:00,2.0,791648.0,29617104.0,28155492416.0,205098.0,6.53,30.28,468957.0,14.92,336.54,515043.0,16.39,352.9,0.79,0.78,0.46,0.45,13.64,141.16,2,0,282,0.49999999999999994,0.8660254037844387,0.0,1.0,716409,722161.46419756,1.0000088724575453,0.975,1.0258639840486319
2023-10-09 03:00:00+00:00,3.0,780649.0,47170245.0,48267967239.0,240607.0,6.04,25.71,414693.0,10.4,269.1,557662.0,13.99,296.26,0.82,0.81,0.47,0.44,16.4,133.89,3,0,282,0.7071067811865475,0.7071067811865476,0.0,1.0,727453,737045.48314601,1.0000133205294444,0.987059047744874,1.026986821837283
2023-10-09 04:00:00+00:00,4.0,878839.0,71064434.0,72758029635.0,298122.0,5.35,20.04,442726.0,7.94,201.95,657850.0,11.8,222.85,0.84,0.83,0.49,0.44,21.59,129.59,4,0,282,0.8660254037844386,0.5000000000000001,0.0,1.0,776933,766083.3886526007,1.0000177765154004,1.0,1.0280719161153598
2023-10-09 05:00:00+00:00,5.0,897077.0,74533792.0,75108901739.0,323472.0,4.89,17.67,450004.0,6.8,168.6,691812.0,10.45,184.35,0.84,0.83,0.5,0.45,24.9,126.98,5,0,282,0.9659258262890683,0.25881904510252074,0.0,1.0,797957,788570.5528197573,1.0000222404294234,1.012940952255126,1.0291177492803965
2023-10-09 06:00:00+00:00,6.0,967014.0,80750346.0,79796394152.0,357687.0,4.71,17.18,481002.0,6.33,168.14,740919.0,9.76,181.96,0.85,0.84,0.5,0.45,27.55,124.22,6,0,282,1.0,6.123233995736766e-17,0.0,1.0,862097,814981.8766273857,1.000026712285548,1.025,1.0301228586401445
2023-10-09 07:00:00+00:00,7.0,1070342.0,79271432.0,74943487322.0,396834.0,5.03,18.63,532229.0,6.75,171.19,819204.0,10.38,187.86,0.85,0.84,0.5,0.45,26.23,125.23,7,0,282,0.9659258262890683,-0.25881904510252063,0.0,1.0,942718,848247.6289987488,1.000031192097833,1.0353553390593273,1.0310858384582788
2023-10-09 08:00:00+00:00,8.0,1051438.0,89899033.0,91262150873.0,385248.0,4.88,18.04,519742.0,6.58,162.44,791258.0,10.01,177.97,0.85,0.84,0.5,0.45,27.92,124.13,8,0,282,0.8660254037844387,-0.49999999999999983,0.0,1.0,925056,871914.2576920677,1.000035679880363,1.043301270189222,1.0320053419204482
2023-10-09 09:00:00+00:00,9.0,1090639.0,90338547.0,88348762798.0,396581.0,4.91,18.13,536627.0,6.65,164.07,816100.0,10.11,178.11,0.85,0.84,0.5,0.45,27.37,121.05,9,0,282,0.7071067811865476,-0.7071067811865475,0.0,1.0,951216,894976.9548401325,1.000040175647246,1.0482962913144533,1.0328800830179163
